7.7,93.66,65.79,95.61,71.81,97.22,78.17,98.53,84.84,99.39,91.95,99.77,99.56,99.88,107.43,99.96,115.32,100,123.25,100,131.23,100,139.21
7.8,93.8,67.72,95.71,73.78,97.3,80.17,98.59,86.85,99.42,93.99,99.78,101.62,99.88,109.49,99.96,117.39,100,125.32,100,133.3,100,141.28
7.9,93.93,69.66,95.81,75.75,97.38,82.16,98.64,88.87,99.45,96.04,99.78,103.68,99.88,111.56,99.96,119.46,100,127.39,100,135.37,100,143.35
8,94.05,71.61,95.9,77.73,97.45,84.16,98.7,90.89,99.48,98.08,99.79,105.74,99.89,113.62,99.96,121.52,100,129.46,100,137.44,100,145.42
8.1,94.17,73.56,96,79.71,97.52,86.15,98.75,92.91,99.51,100.12,99.8,107.81,99.89,115.69,99.97,123.59,100,131.53,100,139.51,100,147.49
8.2,94.28,75.52,96.09,81.69,97.59,88.16,98.8,94.93,99.53,102.16,99.8,109.88,99.89,117.76,99.97,125.66,100,133.6,100,141.58,100,149.56
8.3,94.39,77.47,96.17,83.67,97.66,90.16,98.84,96.95,99.56,104.21,99.8,111.94,99.9,119.82,99.97,127.73,100,135.67,100,143.65,100,151.63
8.4,94.5,79.44,96.26,85.65,97.72,92.17,98.89,98.97,99.58,106.26,99.81,114.01,99.9,121.89,99.97,129.8,100,137.74,100,145.72,100,153.7
8.5,94.6,81.41,96.34,87.64,97.78,94.18,98.94,101,99.59,108.32,99.81,116.07,99.91,123.96,99.97,131.86,100,139.81,100,147.79,100,155.77
8.6,94.7,83.38,96.43,89.63,97.84,96.19,98.98,103.02,99.61,110.37,99.82,118.14,99.91,126.02,99.98,133.93,100,141.88,100,149.86,100,157.84
8.7,94.8,85.35,96.5,91.62,97.9,98.2,99.02,105.06,99.62,112.43,99.82,120.21,99.91,128.09,99.98,136,100,143.95,100,151.93,100,159.91
8.8,94.9,87.32,96.57,93.62,97.96,100.21,99.05,107.09,99.64,114.48,99.82,122.27,99.92,130.15,99.98,138.07,100,146.03,100,154,100,161.98
8.9,94.99,89.29,96.64,95.62,98.01,102.23,99.08,109.13,99.65,116.54,99.83,124.34,99.92,132.22,99.98,140.13,100,148.1,100,156.07,100,164.05
9,95.09,91.27,96.7,97.63,98.07,104.24,99.11,111.17,99.66,118.6,99.83,126.4,99.93,134.29,99.99,142.2,100,150.17,100,158.14,100,166.12
9.1,95.17,93.25,96.77,99.63,98.12,106.26,99.14,113.21,99.67,120.66,99.84,128.47,99.93,136.35,99.99,144.27,100,152.24,100,160.21,100,168.19
9.2,95.26,95.24,96.83,101.64,98.16,108.28,99.17,115.25,99.67,122.73,99.84,130.54,99.93,138.42,99.99,146.34,100,154.31,100,162.28,100,170.26
9.3,95.34,97.23,96.9,103.65,98.21,110.31,99.2,117.29,99.68,124.79,99.84,132.6,99.94,140.49,99.99,148.41,100,156.38,100,164.35,100,172.33
9.4,95.42,99.22,96.96,105.66,98.26,112.33,99.23,119.34,99.69,126.85,99.85,134.67,99.94,142.56,100,150.47,100,158.45,100,166.42,100,174.4
9.5,95.5,101.21,97.02,107.67,98.3,114.36,99.25,121.38,99.69,128.92,99.85,136.74,99.94,144.62,100,152.54,100,160.52,100,168.49,100,176.47
9.6,95.57,103.2,97.07,109.68,98.34,116.38,99.28,123.43,99.7,130.98,99.86,138.8,99.94,146.69,100,154.61,100,162.59,100,170.56,100,178.54
9.7,95.65,105.2,97.13,111.7,98.38,118.41,99.3,125.48,99.71,133.05,99.86,140.87,99.94,148.76,100,156.68,100,164.66,100,172.63,100,180.61
9.8,95.72,107.2,97.18,113.72,98.42,120.44,99.32,127.53,99.71,135.11,99.86,142.93,99.95,150.83,100,158.75,100,166.73,100,174.7,100,182.68
9.9,95.79,109.2,97.23,115.73,98.46,122.48,99.33,129.58,99.72,137.17,99.87,145,99.95,152.89,100,160.82,100,168.8,100,176.77,100,184.75
10,95.85,111.21,97.28,117.75,98.5,124.51,99.35,131.63,99.72,139.24,99.87,147.07,99.95,154.96,100,162.89,100,170.87,100,178.84,100,186.82
